condition,model,scenario_id,expected_repetitions,observed_repetitions,missing_repetition_numbers,duplicate_repetition_numbers,status
rag,deepseek-r1:8b,PERSIST_017,5,5,,,complete
rag,deepseek-r1:8b,PROC_005,5,5,,,complete
rag,deepseek-r1:8b,PROC_006,5,5,,,complete
rag,deepseek-r1:8b,PROC_016,5,5,,,complete
rag,deepseek-r1:8b,SEC_005,5,5,,,complete
rag,deepseek-r1:8b,SEC_010,5,5,,,complete
rag,deepseek-r1:8b,SEC_017,5,5,,,complete
rag,deepseek-r1:8b,USB_007,5,5,,,complete
rag,deepseek-r1:8b,USB_017,5,5,,,complete
rag,gemma3:12b,AUTH_003,5,5,,,complete
rag,gemma3:12b,AUTH_005,5,5,,,complete
rag,gemma3:12b,AUTH_009,5,5,,,complete
rag,gemma3:12b,NET_005,5,5,,,complete
rag,gemma3:12b,NET_012,5,5,,,complete
rag,gemma3:12b,NORMAL_006,5,5,,,complete
rag,gemma3:12b,NORMAL_008,5,5,,,complete
rag,gemma3:12b,NORMAL_014,5,5,,,complete
rag,gemma3:12b,NORMAL_016,5,5,,,complete
rag,gemma3:12b,PERSIST_006,5,5,,,complete
rag,gemma3:12b,PERSIST_014,5,5,,,complete
rag,gemma3:12b,PERSIST_017,5,5,,,complete
rag,gemma3:12b,PROC_005,5,5,,,complete
rag,gemma3:12b,PROC_006,5,5,,,complete
rag,gemma3:12b,PROC_016,5,5,,,complete
rag,gemma3:12b,SEC_005,5,5,,,complete
rag,gemma3:12b,SEC_010,5,5,,,complete
rag,gemma3:12b,SEC_017,5,5,,,complete
rag,gemma3:12b,USB_007,5,5,,,complete
rag,gemma3:12b,USB_017,5,5,,,complete
rag,gpt-oss:20b,AUTH_003,5,5,,,complete
rag,gpt-oss:20b,AUTH_005,5,5,,,complete
rag,gpt-oss:20b,AUTH_009,5,5,,,complete
rag,gpt-oss:20b,NET_005,5,5,,,complete
rag,gpt-oss:20b,NET_012,5,5,,,complete
rag,gpt-oss:20b,NORMAL_006,5,5,,,complete
rag,gpt-oss:20b,NORMAL_008,5,5,,,complete
rag,gpt-oss:20b,NORMAL_014,5,5,,,complete
rag,gpt-oss:20b,NORMAL_016,5,5,,,complete
rag,gpt-oss:20b,PERSIST_006,5,5,,,complete
rag,gpt-oss:20b,PERSIST_014,5,5,,,complete
rag,gpt-oss:20b,PERSIST_017,5,5,,,complete
rag,gpt-oss:20b,PROC_005,5,5,,,complete
rag,gpt-oss:20b,PROC_006,5,5,,,complete
rag,gpt-oss:20b,PROC_016,5,5,,,complete
rag,gpt-oss:20b,SEC_005,5,5,,,complete
rag,gpt-oss:20b,SEC_010,5,5,,,complete
rag,gpt-oss:20b,SEC_017,5,5,,,complete
rag,gpt-oss:20b,USB_007,5,5,,,complete
rag,gpt-oss:20b,USB_017,5,5,,,complete
rag,llama3,AUTH_003,5,5,,,complete
rag,llama3,AUTH_005,5,5,,,complete
rag,llama3,AUTH_009,5,5,,,complete
rag,llama3,NET_005,5,5,,,complete
rag,llama3,NET_012,5,5,,,complete
rag,llama3,NORMAL_006,5,5,,,complete
rag,llama3,NORMAL_008,5,5,,,complete
rag,llama3,NORMAL_014,5,5,,,complete
rag,llama3,NORMAL_016,5,5,,,complete
rag,llama3,PERSIST_006,5,5,,,complete
rag,llama3,PERSIST_014,5,5,,,complete
rag,llama3,PERSIST_017,5,5,,,complete
rag,llama3,PROC_005,5,5,,,complete
rag,llama3,PROC_006,5,5,,,complete
rag,llama3,PROC_016,5,5,,,complete
rag,llama3,SEC_005,5,5,,,complete
rag,llama3,SEC_010,5,5,,,complete
rag,llama3,SEC_017,5,5,,,complete
rag,llama3,USB_007,5,5,,,complete
rag,llama3,USB_017,5,5,,,complete
rag,qwen3:8b,AUTH_003,5,5,,,complete
rag,qwen3:8b,AUTH_005,5,5,,,complete
rag,qwen3:8b,AUTH_009,5,5,,,complete
rag,qwen3:8b,NET_005,5,5,,,complete
rag,qwen3:8b,NET_012,5,5,,,complete
rag,qwen3:8b,NORMAL_006,5,5,,,complete
rag,qwen3:8b,NORMAL_008,5,5,,,complete
rag,qwen3:8b,NORMAL_014,5,5,,,complete
rag,qwen3:8b,NORMAL_016,5,5,,,complete
rag,qwen3:8b,PERSIST_006,5,5,,,complete
rag,qwen3:8b,PERSIST_014,5,5,,,complete
rag,qwen3:8b,PERSIST_017,5,5,,,complete
rag,qwen3:8b,PROC_005,5,5,,,complete
rag,qwen3:8b,PROC_006,5,5,,,complete
rag,qwen3:8b,PROC_016,5,5,,,complete
rag,qwen3:8b,SEC_005,5,5,,,complete
rag,qwen3:8b,SEC_010,5,5,,,complete
rag,qwen3:8b,SEC_017,5,5,,,complete
rag,qwen3:8b,USB_007,5,5,,,complete
rag,qwen3:8b,USB_017,5,5,,,complete
